Sample ID,Cattle Tag Number,Skeleton Floy Tag Number,Falcon Tube RRR Number,Biorepository Number,Region,Site,Sampling Date,Latitude,Longitude,Depth (ft),Photo Range,Species identification ,"Collecting Notes (Time, Tide, Weather, etc.)",Morphology Notes
Coiba_697_06110,697,02301,06110,AP3XF37,Coiba,Wahoo,11/29/21,7.686389,-81.60889,30,PB290115-PB290127,P. capitata,,
Coiba_929_06111,929,02302,06111,AP3XF38,Coiba,Wahoo,11/29/21,7.686389,-81.60889,21,PB290128-PB290142,P. effusa,,
Coiba_698_06112,698,02303,06112,AP3XF39,Coiba,Wahoo,11/29/21,7.686389,-81.60889,22,PB290143-PB290158,P. grandis,,
Coiba_931_06113,931,02304,06113,AP3XF40,Coiba,Wahoo,11/29/21,7.686389,-81.60889,23,PB290063-PB290077,P. capitata,,
Coiba_680_06114,680,02305,06114,AP3XF41,Coiba,Wahoo,11/29/21,7.686389,-81.60889,15,PB290159-PB290176,P. capitata,,
Coiba_909_06115,909,02306,06115,AP3XF42,Coiba,Wahoo,11/29/21,7.686389,-81.60889,29,PB290097-290114,P. verrucosa*,,
Coiba_685_06116,685,02307,06116,AP3XF43,Coiba,Wahoo,11/29/21,7.686389,-81.60889,25,PB290083-PB290096,P. effusa,,
Coiba_930_06117,930,02308,06117,AP3XF44,Coiba,Wahoo,11/29/21,7.686389,-81.60889,30,PB290048-PB290062,P. effusa,,
Coiba_693_06118,693,02309,06118,AP3XF45,Coiba,Wahoo,11/29/21,7.686389,-81.60889,21,PB290272-PB290285,P. verrucosa*,,
Coiba_910_06119,910,02310,06119,AP3XF46,Coiba,Wahoo,11/29/21,7.686389,-81.60889,17,PB290256-PB290271,P. grandis,,
Coiba_686_06120,686,02311,06120,AP3XF47,Coiba,Wahoo,11/29/21,7.686389,-81.60889,27,PB290233-PB290243,P. verrucosa*,,
Coiba_927_06332,927,02312,06332,AP3XF48,Coiba,Wahoo,11/29/21,7.686389,-81.60889,21,PB290244-PB290255,P. capitata,,
,691,02313,06333,AP3XF49,Coiba,Wahoo,11/29/21,7.686389,-81.60889,27,PB290219-PB290232,P. effusa,,
,928,02314,06334,AP3XF50,Coiba,Wahoo,11/29/21,7.686389,-81.60889,22,PB290177-PB290193,P. effusa,,
,682,02315,06335,AP3XF51,Coiba,Wahoo,11/29/21,7.686389,-81.60889,29,PB290208-PB290218,P. verrucosa*,,
,926,02316,06336,AP3XF52,Coiba,Wahoo,11/29/21,7.686389,-81.60889,25,PB290194-PB290207,P. effusa,,
,901,02317,06337,AP3XF53,Coiba,Canales,11/29/21,7.695942,-81.632929,9,PB290397-PB290411,P. verrucosa,,"Very fine branching morphology, cf. damicornis"
,902,02318,06338,AP3XF54,Coiba,Canales,11/29/21,7.695942,-81.632929,13,PB290378-PB290396,P. verrucosa,,"Very fine branching morphology, cf. damicornis"
,679,02319,06339,AP3XF55,Coiba,Canales,11/29/21,7.695942,-81.632929,17,PB290361-PB290377,P. elegans,,"Very fine branching morphology, cf. damicornis"
,683,02320,06340,AP3XF56,Coiba,Canales,11/29/21,7.695942,-81.632929,14,PB290294-PB290304,P. verrucosa,,"Very fine branching morphology, cf. damicornis"
,677,02321,06341,AP3XF57,Coiba,Canales,11/29/21,7.695942,-81.632929,9,PB290347-PB290360,P. elegans,,
,688,02322,06342,AP3XF58,Coiba,Canales,11/29/21,7.695942,-81.632929,6,PB290334-PB290346,P. capitata,,
,903,02323,06365,AP3XF59,Coiba,Canales,11/29/21,7.695942,-81.632929,7,PB290318-PB290333,P. verrucosa,,
,922,02324,06366,AP3XF60,Coiba,Canales,11/29/21,7.695942,-81.632929,11,PB290305-PB290317,P. verrucosa,,
,925,02325,06375,AP3XF61,Coiba,Uvas,11/30/21,7.815128015,-81.75892202,8,PB300425-PB300444,P. verrucosa,,"Very fine branching morphology, cf. damicornis"
,907,02326,06299,AP3XF62,Coiba,Uvas,11/30/21,7.815128015,-81.75892202,9,PB300445-PB300463,P. elegans,,
,914,02327,06373,AP3XF63,Coiba,Uvas,11/30/21,7.815128015,-81.75892202,9,PB300464-PB300479,P. verrucosa,,
,917,02328,06372,AP3XF64,Coiba,Uvas,11/30/21,7.815128015,-81.75892202,13,PB300480-PB300496,P. capitata,,
,906,02330,06374,AP3XF65,Coiba,Uvas,11/30/21,7.815128015,-81.75892202,14,PB300497-PB300516,P. verrucosa,,"Very fine branching morphology, cf. damicornis"
,915,02331,06368,AP3XF66,Coiba,Uvas,11/30/21,7.815128015,-81.75892202,15,PB300517-PB399531,P. verrucosa*,,
,696,02332,06371,AP3XF67,Coiba,Uvas,11/30/21,7.815128015,-81.75892202,14,PB300532-PB300546,P. verrucosa,,"Very fine branching morphology, cf. damicornis"
,904,02333,06367,AP3XF68,Coiba,Uvas,11/30/21,7.815128015,-81.75892202,22,PB300547-PB300567,P. verrucosa,,"Very fine branching morphology, cf. damicornis"
,900,02329,06369,AP3XF69,Coiba,Uvas,11/30/21,7.815128015,-81.75892202,20,PB300568-PB300584,P. elegans,,
,692,02334,06370,AP3XF70,Coiba,Uvas,11/30/21,7.815128015,-81.75892202,18,PB300585-PB300596,P. elegans,,
,920,02335,06304,AP3XF71,Coiba,Uva Channel,11/30/21,7.861944,-81.78083,30,PB300597-PB300613,P. verrucosa*,,
,908,02337,06305,AP3XF72,Coiba,Uva Channel,11/30/21,7.861944,-81.78083,31,PB300614-PB300636,P. effusa,,
,694,02336,06303,AP3XF73,Coiba,Uva Channel,11/30/21,7.861944,-81.78083,26,PB300637-PB300650,P. effusa,,
,918,02338,06302,AP3XF74,Coiba,Uva Channel,11/30/21,7.861944,-81.78083,26,PB300651-PB300665,P. effusa,,
,684,02339,06301,AP3XF75,Coiba,Uva Channel,11/30/21,7.861944,-81.78083,29,PB300666-PB300681,P. grandis,,
,919,02340,06300,AP3XF76,Coiba,Uva Channel,11/30/21,7.861944,-81.78083,25,PB300682-PB300697,P. capitata,,Very unusual morphology
Cocos_611_04992,611,,04992,AP3XF77,Isla del Coco,Chatham,5/26/21,5.55247,-87.04112,,P5260976 - P5260979,P. meandrina,,
,612,,04993,AP3XF78,Isla del Coco,Chatham,5/26/21,5.55247,-87.04112,,,P. meandrina,,
,613,,04994,AP3XF79,Isla del Coco,Chatham,5/26/21,5.55247,-87.04112,,,P. grandis,,
,614,,04995,AP3XF80,Isla del Coco,Chatham,5/26/21,5.55247,-87.04112,,,P. meandrina,,
,615,,04996,AP3XF81,Isla del Coco,Chatham,5/26/21,5.55247,-87.04112,,,P. meandrina,,
,616,,04997,AP3XF82,Isla del Coco,Chatham,5/26/21,5.55247,-87.04112,,,P. meandrina,,
,617,,04998,AP3XF83,Isla del Coco,Chatham,5/26/21,5.55247,-87.04112,,,,,
,618,,04999,AP3XF84,Isla del Coco,Chatham,5/26/21,5.55247,-87.04112,,,,,
,619,,05000,AP3XF85,Isla del Coco,Chatham,5/26/21,5.55247,-87.04112,,,,,
,620,,05001,AP3XF86,Isla del Coco,Chatham,5/26/21,5.55247,-87.04112,,,P. grandis,,
,621,,05002,AP3XF87,Isla del Coco,Chatham,5/26/21,5.55247,-87.04112,,,P. grandis,,
,644,,05234,AP3XF88,Isla del Coco,Manuelita,5/26/21,5.56097,-87.04643,,,P. effusa,,
,645,,05235,AP3XF89,Isla del Coco,Manuelita,5/27/21,5.56097,-87.04643,,,P. effusa,,
,646,,05236,AP3XF90,Isla del Coco,Manuelita,5/27/21,5.56097,-87.04643,,,P. meandrina,,
,647,,05237,AP3XF91,Isla del Coco,Manuelita,5/27/21,5.56097,-87.04643,,,P. meandrina,,
,648,,05238,AP3XF92,Isla del Coco,Manuelita,5/27/21,5.56097,-87.04643,,,,,Very unusual morphology
,649,,05239,AP3XF93,Isla del Coco,Manuelita,5/27/21,5.56097,-87.04643,,,P. effusa,,
,650,,05240,AP3XF94,Isla del Coco,Manuelita,5/27/21,5.56097,-87.04643,,,P. effusa,,
,651,,05241,AP3XF95,Isla del Coco,Manuelita,5/27/21,5.56097,-87.04643,,,P. meandrina,,
,652,,05242,AP3XF96,Isla del Coco,Manuelita,5/27/21,5.56097,-87.04643,,,P. verrucosa,,
,653,,05243,AP3XF97,Isla del Coco,Manuelita,5/27/21,5.56097,-87.04643,,,P. effusa,,
,654,,05244,AP3XF98,Isla del Coco,Manuelita,5/27/21,5.56097,-87.04643,,,P. verrucosa,,
,655,,05113,AP3XF99,Isla del Coco,Weston,5/26/21,5.55259,-87.05227,,,,,
,656,,05114,AP3XG00,Isla del Coco,Weston,5/27/21,5.55259,-87.05227,,,,,
,657,,05115,AP3XG01,Isla del Coco,Weston,5/27/21,5.55259,-87.05227,,,,,
,658,,05116,AP3XG02,Isla del Coco,Weston,5/27/21,5.55259,-87.05227,,,,,
,659,,05117,AP3XG03,Isla del Coco,Weston,5/27/21,5.55259,-87.05227,,,,,
,660,,05118,AP3XG04,Isla del Coco,Weston,5/27/21,5.55259,-87.05227,,,,,
,661,,05119,AP3XG05,Isla del Coco,Weston,5/27/21,5.55259,-87.05227,,,,,
,662,,05120,AP3XG06,Isla del Coco,Weston,5/27/21,5.55259,-87.05227,,,,,
,663,,05121,AP3XG07,Isla del Coco,Weston,5/27/21,5.55259,-87.05227,,,,,
,664,,05122,AP3XG08,Isla del Coco,Weston,5/27/21,5.55259,-87.05227,,,,,
,665,,05123,AP3XG09,Isla del Coco,Weston,5/27/21,5.55259,-87.05227,,,,,
,666,,05527,AP3XG10,Isla del Coco,Weston shallow,5/29/21,5.55239,-87.05061,,,P. verrucosa/P. meandrina,,Very unusual morphology
,667,,05528,AP3XG11,Isla del Coco,Weston shallow,5/29/21,5.55239,-87.05061,,,P. grandis,,
,668,,05529,AP3XG12,Isla del Coco,Weston shallow,5/29/21,5.55239,-87.05061,,,P. verrucosa,,
,669,,05530,AP3XG13,Isla del Coco,Weston shallow,5/29/21,5.55239,-87.05061,,,P. grandis,,
,670,,05531,AP3XG14,Isla del Coco,Weston shallow,5/29/21,5.55239,-87.05061,,,P. effusa,Not Obtained,
,671,,05532,AP3XG15,Isla del Coco,Weston shallow,5/29/21,5.55239,-87.05061,,,P. verrucosa,,
,672,,05533,AP3XG16,Isla del Coco,Weston shallow,5/29/21,5.55239,-87.05061,,,P. verrucosa,Not Obtained,
,673,,05534,AP3XG17,Isla del Coco,Weston shallow,5/29/21,5.55239,-87.05061,,,P. effusa,Not Obtained,
,674,,05535,AP3XG18,Isla del Coco,Weston shallow,5/29/21,5.55239,-87.05061,,,P. effusa,Not Obtained,
,675,,05536,AP3XG19,Isla del Coco,Weston shallow,5/29/21,5.55239,-87.05061,,,,Not Obtained,
,676,,05537,AP3XG20,Isla del Coco,Weston shallow,5/29/21,5.55239,-87.05061,,,,Not Obtained,
Perlas_###_######,301,,06077,AP3XG21,Las Perlas,Contadora,3/3/22,8.63388,-79.0292,,,,Dive 1,
,331,,06078,AP3XG22,Las Perlas,Contadora,3/3/22,8.63388,-79.0292,,,P. verrucosa,Dive 1,
,332,,06079,AP3XG23,Las Perlas,Contadora,3/3/22,8.63388,-79.0292,,,P. verrucosa,Dive 1,
,333,03001,06080,AP3XG24,Las Perlas,Contadora,3/3/22,8.63388,-79.0292,,,,Dive 1,
,334,03002,06081,AP3XG25,Las Perlas,Contadora,3/3/22,8.63388,-79.0292,,,,Dive 1,
,335,03003,06082,AP3XG26,Las Perlas,Contadora,3/3/22,8.63388,-79.0292,,,,Dive 1,
,336,,06083,AP3XG27,Las Perlas,Contadora,3/3/22,8.63388,-79.0292,,,,Dive 1,
,337,03004,06084,AP3XG28,Las Perlas,Contadora,3/3/22,8.63388,-79.0292,,,,Dive 1,
,338,,06085,AP3XG29,Las Perlas,Contadora,3/3/22,8.63388,-79.0292,,,,Dive 1,
,339,03005,06086,AP3XG30,Las Perlas,Contadora,3/3/22,8.63388,-79.0292,,,,Dive 1,
,340,03006,06087,AP3XG31,Las Perlas,Contadora,3/3/22,8.63388,-79.0292,,,,Dive 1,
,341,,06143,AP3XG32,Las Perlas,Contadora,3/3/22,8.63388,-79.0292,,,,Dive 2,
,342,,06144,AP3XG33,Las Perlas,Contadora,3/3/22,8.63388,-79.0292,,,,Dive 2,
,343,03007,06145,AP3XG34,Las Perlas,Contadora,3/3/22,8.63388,-79.0292,,,,Dive 2,
,344,03008,06146,AP3XG35,Las Perlas,Contadora,3/3/22,8.63388,-79.0292,,,,Dive 2,
,345,03009,06147,AP3XG36,Las Perlas,Contadora,3/3/22,8.63388,-79.0292,,,,Dive 2,
,346,03010,06148,AP3XG37,Las Perlas,Contadora,3/3/22,8.63388,-79.0292,,,,Dive 2,
,347,03011,06149,AP3XG38,Las Perlas,Contadora,3/3/22,8.63388,-79.0292,,,,Dive 2,
,348,03012,06150,AP3XG39,Las Perlas,Contadora,3/3/22,8.63388,-79.0292,,,,Dive 2,
,349,,06151,AP3XG40,Las Perlas,Contadora,3/3/22,8.63388,-79.0292,,,,Dive 2,
,350,03013,06152,AP3XG41,Las Perlas,Contadora,3/3/22,8.63388,-79.0292,,,,Dive 2,
,351,,06153,AP3XG42,Las Perlas,Saboga,3/4/22,8.62807,-79.05462,,P3040456 - P3040467 ,P. elegans,Transect,
,352,,06266,AP3XG43,Las Perlas,Saboga,3/4/22,8.62807,-79.05462,,P3040525 - P3040542,P. verrucosa,Transect,
,353,,06267,AP3XG44,Las Perlas,Saboga,3/4/22,8.62807,-79.05462,,P3040509 - P3040520,P. elegans,Transect,
,354,,06268,AP3XG45,Las Perlas,Saboga,3/4/22,8.62807,-79.05462,,P3040487 - P3040495,P. elegans,Transect,
,355,,06269,AP3XG46,Las Perlas,Saboga,3/4/22,8.62807,-79.05462,,P3040619 - P3040629,P. elegans,Transect,
,356,,06270,AP3XG47,Las Perlas,Saboga,3/4/22,8.62807,-79.05462,,P3040580 - P3040594,P. elegans,Transect,
,357,,06271,AP3XG48,Las Perlas,Saboga,3/4/22,8.62807,-79.05462,,P3040545 - P3040561,P. elegans,Transect,
,358,,06272,AP3XG49,Las Perlas,Saboga,3/4/22,8.62807,-79.05462,,P3040566 - P3040577,P. elegans,Transect,
,359,,06273,AP3XG50,Las Perlas,Saboga,3/4/22,8.62807,-79.05462,,P3040598 - P3040615,P. elegans,Transect,
,360,,06274,AP3XG51,Las Perlas,Saboga,3/4/22,8.62807,-79.05462,,P3040631 - P3040649,P. elegans,Transect,
,361,,06275,AP3XG52,Las Perlas,Saboga,3/4/22,8.62807,-79.05462,,P3040652 - P3040670,P. verrucosa,Peter's plot,
,362,,06276,AP3XG53,Las Perlas,Saboga,3/4/22,8.62807,-79.05462,,P3040671 - P3040687,P. verrucosa,Peter's plot,
,363,,06398,AP3XG54,Las Perlas,Saboga,3/4/22,8.62807,-79.05462,,P3040704 - P3040724,P. verrucosa,Peter's plot,
,364,,06399,AP3XG55,Las Perlas,Saboga,3/4/22,8.62807,-79.05462,,P3040727 - P3040746,P. verrucosa,Peter's plot,
,365,,06400,AP3XG56,Las Perlas,Saboga,3/4/22,8.62807,-79.05462,,,,"Peter's plot, Victoria sampled",
,366,,06401,AP3XG57,Las Perlas,Saboga,3/4/22,8.6383,-79.05535,,P3040762 - P3040775,P. verrucosa*,Mike's spot,
,367,,06402,AP3XG58,Las Perlas,Saboga,3/4/22,8.6383,-79.05535,,P3040779 - P3040789,P. elegans,Mike's spot,
,368,,06403,AP3XG59,Las Perlas,Saboga,3/4/22,8.6383,-79.05535,,P3040795 - P3040805,P. verrucosa,Mike's spot,
,369,,06404,AP3XG60,Las Perlas,Saboga,3/4/22,8.6383,-79.05535,,P3040814 - P3040830,P. verrucosa*,Mike's spot,
,370,,06405,AP3XG61,Las Perlas,Saboga,3/4/22,8.6383,-79.05535,,P3040840 - P3040848,P. verrucosa,Mike's spot,
,371,,06406,AP3XG62,Las Perlas,Saboga,3/4/22,8.6383,-79.05535,,P3040851 - P3040867,P. verrucosa,Mike's spot,
,372,,06407,AP3XG63,Las Perlas,Saboga,3/4/22,8.6383,-79.05535,,P3040887 - P3040905,P. verrucosa*,Mike's spot,
,373,,06408,AP3XG64,Las Perlas,Saboga,3/4/22,8.6383,-79.05535,,P3040906 - P3040922,P. verrucosa*,Mike's spot,
,374,,06409,AP3XG65,Las Perlas,Saboga,3/4/22,8.6383,-79.05535,,P3040926 - P3040937,P. verrucosa,Mike's spot,
,375,,06410,AP3XG66,Las Perlas,Saboga,3/4/22,8.6383,-79.05535,,P3040940 - P3040953,P. verrucosa,Mike's spot,
,376,,06411,AP3XG67,Las Perlas,Saboga,3/4/22,8.6383,-79.05535,,P3040973 - P3040991,P. verrucosa*,Mike's spot,
,401,,06412,AP3XG68,Las Perlas,San Pedro,3/8/22,8.45996,-78.85208,,,,Pedro y Pablo,
,402,,06413,AP3XG69,Las Perlas,San Pedro,3/8/22,8.45996,-78.85208,,,,Pedro y Pablo,
,403,,06414,AP3XG70,Las Perlas,San Pedro,3/8/22,8.45996,-78.85208,,,,Pedro y Pablo,
,404,,06415,AP3XG71,Las Perlas,San Pedro,3/8/22,8.45996,-78.85208,,,,Pedro y Pablo,
,405,,06416,AP3XG72,Las Perlas,San Pedro,3/8/22,8.45996,-78.85208,,,,Pedro y Pablo,
,406,,06417,AP3XG73,Las Perlas,San Pedro,3/8/22,8.45996,-78.85208,,,,Pedro y Pablo,
,407,,06418,AP3XG74,Las Perlas,San Pedro,3/8/22,8.45996,-78.85208,,,,Pedro y Pablo,
,408,,06419,AP3XG75,Las Perlas,San Pedro,3/8/22,8.45996,-78.85208,,,,Pedro y Pablo,
,409,,06420,AP3XG76,Las Perlas,San Pedro,3/8/22,8.45996,-78.85208,,,,Pedro y Pablo,
,410,,06421,AP3XG77,Las Perlas,San Pedro,3/8/22,8.45996,-78.85208,,,,Pedro y Pablo,
,411,,06422,AP3XG78,Las Perlas,San Pedro,3/8/22,8.45996,-78.85208,,,,Pedro y Pablo,
,412,,06423,AP3XG79,Las Perlas,San Pedro,3/8/22,8.45996,-78.85208,,,,Pedro y Pablo,
,,,,AP3XG80,,,,,,,,,,
,,,,AP3XG81,,,,,,,,,,
,,,,AP3XG82,,,,,,,,,,
,,,,AP3XG83,,,,,,,,,,
,,,,AP3XG84,,,,,,,,,,
,,,,AP3XG85,,,,,,,,,,
,,,,AP3XG86,,,,,,,,,,
,,,,AP3XG87,,,,,,,,,,
,,,,AP3XG88,,,,,,,,,,
,,,,AP3XG89,,,,,,,,,,
,,,,AP3XG90,,,,,,,,,,
,,,,AP3XG91,,,,,,,,,,
,,,,AP3XG92,,,,,,,,,,
,,,,AP3XG93,,,,,,,,,,
,,,,AP3XG94,,,,,,,,,,
,,,,AP3XG95,,,,,,,,,,
,,,,AP3XG96,,,,,,,,,,
,,,,AP3XG97,,,,,,,,,,
,,,,AP3XG98,,,,,,,,,,
,,,,AP3XG99,,,,,,,,,,
,,,,AP3XH00,,,,,,,,,,
,,,,AP3XH01,,,,,,,,,,
,,,,AP3XH02,,,,,,,,,,
,,,,AP3XH03,,,,,,,,,,
,,,,AP3XH04,,,,,,,,,,
,,,,AP3XH05,,,,,,,,,,
,,,,AP3XH06,,,,,,,,,,
,,,,AP3XH07,,,,,,,,,,
,,,,AP3XH08,,,,,,,,,,
,,,,AP3XH09,,,,,,,,,,
,,,,AP3XH10,,,,,,,,,,
,,,,AP3XH11,,,,,,,,,,
,,,,AP3XH12,,,,,,,,,,
,,,,AP3XH13,,,,,,,,,,
,,,,AP3XH14,,,,,,,,,,
,,,,AP3XH15,,,,,,,,,,
,,,,AP3XH16,,,,,,,,,,
,,,,AP3XH17,,,,,,,,,,
,,,,AP3XH18,,,,,,,,,,
,,,,AP3XH19,,,,,,,,,,
,,,,AP3XH20,,,,,,,,,,
,101,,05855,AP3XH21,Isla Iguana,Iguana A,8/12/21,7.63429,-79.99738,,,,,
,102,,05856,AP3XH22,Isla Iguana,Iguana A,8/12/21,7.63429,-79.99738,,,,,
,103,,05857,AP3XH23,Isla Iguana,Iguana A,8/12/21,7.63429,-79.99738,,,,,
,104,,05858,AP3XH24,Isla Iguana,Iguana A,8/12/21,7.63429,-79.99738,,,,,
,105,,05859,AP3XH25,Isla Iguana,Iguana A,8/12/21,7.63429,-79.99738,,,,,
,106,,05860,AP3XH26,Isla Iguana,Iguana A,8/12/21,7.63429,-79.99738,,,,,
,107,,05861,AP3XH27,Isla Iguana,Iguana A,8/12/21,7.63429,-79.99738,,,,,
,108,,05862,AP3XH28,Isla Iguana,Iguana A,8/12/21,7.63429,-79.99738,,,,,
,109,,05863,AP3XH29,Isla Iguana,Iguana A,8/12/21,7.63429,-79.99738,,,,,
,110,,05864,AP3XH30,Isla Iguana,Iguana A,8/12/21,7.63429,-79.99738,,,,,
,111,,05865,AP3XH31,Isla Iguana,Iguana A,8/12/21,7.63429,-79.99738,,,,,
,112,,05899,AP3XH32,Isla Iguana,Iguana B,8/14/21,7.63429,-79.99738,,,,,
,113,,05900,AP3XH33,Isla Iguana,Iguana B,8/14/21,7.63429,-79.99738,,,,,
,114,,05901,AP3XH34,Isla Iguana,Iguana B,8/14/21,7.63429,-79.99738,,,,,
,115,,05902,AP3XH35,Isla Iguana,Iguana B,8/14/21,7.63429,-79.99738,,,,,
,116,,05903,AP3XH36,Isla Iguana,Iguana B,8/14/21,7.63429,-79.99738,,,,,
,117,,05904,AP3XH37,Isla Iguana,Iguana B,8/14/21,7.63429,-79.99738,,,,,
,118,,05905,AP3XH38,Isla Iguana,Iguana B,8/14/21,7.63429,-79.99738,,,,,
,119,,05906,AP3XH39,Isla Iguana,Iguana B,8/14/21,7.63429,-79.99738,,,,,
,120,,05907,AP3XH40,Isla Iguana,Iguana B,8/14/21,7.63429,-79.99738,,,,,
,121,,05908,AP3XH41,Isla Iguana,Iguana B,8/14/21,7.63429,-79.99738,,,,,
,122,,05909,AP3XH42,Isla Iguana,Iguana B,8/14/21,7.63429,-79.99738,,,,,
,123,,05943,AP3XH43,Isla Iguana,Iguana C,8/16/21,7.63429,-79.99738,,,,,
,124,,05944,AP3XH44,Isla Iguana,Iguana C,8/16/21,7.63429,-79.99738,,,,,
,125,,05945,AP3XH45,Isla Iguana,Iguana C,8/16/21,7.63429,-79.99738,,,,,
,126,,05946,AP3XH46,Isla Iguana,Iguana C,8/16/21,7.63429,-79.99738,,,,,
,127,,05947,AP3XH47,Isla Iguana,Iguana C,8/16/21,7.63429,-79.99738,,,,,
,128,,05948,AP3XH48,Isla Iguana,Iguana C,8/16/21,7.63429,-79.99738,,,,,
,129,,05949,AP3XH49,Isla Iguana,Iguana C,8/16/21,7.63429,-79.99738,,,,,
,130,,05950,AP3XH50,Isla Iguana,Iguana C,8/16/21,7.63429,-79.99738,,,,,
,131,,05951,AP3XH51,Isla Iguana,Iguana C,8/16/21,7.63429,-79.99738,,,,,
,132,,05952,AP3XH52,Isla Iguana,Iguana C,8/16/21,7.63429,-79.99738,,,,,
,133,,05953,AP3XH53,Isla Iguana,Iguana C,8/16/21,7.63429,-79.99738,,,,,
,,,,AP3XH54,,,,,,,,,,
,,,,AP3XH55,,,,,,,,,,
,,,,AP3XH56,,,,,,,,,,
,,,,AP3XH57,,,,,,,,,,
,,,,AP3XH58,,,,,,,,,,
,,,,AP3XH59,,,,,,,,,,
,,,,AP3XH60,,,,,,,,,,
,,,,AP3XH61,,,,,,,,,,
,,,,AP3XH62,,,,,,,,,,
,,,,AP3XH63,,,,,,,,,,
,,,,AP3XH64,,,,,,,,,,
,,,,AP3XH65,,,,,,,,,,
,,,,AP3XH66,,,,,,,,,,
,,,,AP3XH67,,,,,,,,,,
,,,,AP3XH68,,,,,,,,,,
,,,,AP3XH69,,,,,,,,,,
,,,,AP3XH70,,,,,,,,,,
,,,,AP3XH71,,,,,,,,,,
,,,,AP3XH72,,,,,,,,,,
,,,,AP3XH73,,,,,,,,,,
,,,,AP3XH74,,,,,,,,,,
,,,,AP3XH75,,,,,,,,,,
,,,,AP3XH76,,,,,,,,,,
,,,,AP3XH77,,,,,,,,,,
,,,,AP3XH78,,,,,,,,,,
,,,,AP3XH79,,,,,,,,,,
,,,,AP3XH80,,,,,,,,,,
,,,,AP3XH81,,,,,,,,,,
,,,,AP3XH82,,,,,,,,,,
,,,,AP3XH83,,,,,,,,,,
,,,,AP3XH84,,,,,,,,,,
,,,,AP3XH85,,,,,,,,,,
,,,,AP3XH86,,,,,,,,,,